xG,xGA,Poss,Touches,Press,Tkl,Int,Blocks,xG_Expected,npxG_Expected,xA_Expected,Att_Passes,Cmp_percent_Passes,Prog_Passes,Prog_Carries,Succ_Dribbles,Att_Dribbles,Cmp_percent_Total,TotDist_Total,PrgDist_Total,Att_Short,Cmp_percent_Short,Att_Medium,Cmp_percent_Medium,Att_Long,Cmp_percent_Long,PPA,CrsPA,Live_Pass_Types,Dead_Pass_Types,FK_Pass_Types,TB_Pass_Types,Press_Pass_Types,Sw_Pass_Types,Crs_Pass_Types,CK_Pass_Types,Int_Outcomes,Blocks_Outcomes,Tkl_Tackles,TklW_Tackles,Def.3rd_Tackles,Mid.3rd_Tackles,Att.3rd_Tackles,Att_Vs_Dribbles,Tkl_percent_Vs_Dribbles,Past_Vs_Dribbles,Press_Pressures,Succ_Pressures,Def.3rd_Pressures,Mid.3rd_Pressures,Att.3rd_Pressures,Sh_Blocks,ShSv_Blocks,Pass_Blocks,Tkl.Int,Clr,Err,Touches_Touches,Def.Pen_Touches,Def.3rd_Touches,Mid.3rd_Touches,Att.3rd_Touches,Att.Pen_Touches,Succ_percent_Dribbles,PrgDist_Carries,Final_Third_Carries,CPA_Carries,Mis_Carries,Dis_Carries,Fls,Fld,Off,Crs,TklW,PKwon,PKcon,Won_percent_Aerial_Duels,Recov,Saves_Shot_Stopping,SoTA_Shot_Stopping,Att_Goal_Kicks,Save_percent_Shot_Stopping,Stp_percent_Crosses,SoT,GCA_SCA,Prog,TotDist_Carries,PSxG_Shot_Stopping,Opp_Crosses,AvgDist_Sweeper,Player_NumOPA_Sweeper,formation_class,win_nowin
1.4,0.8,54,636,127,15,21,11,1.4,1.4,0.5,512,76.4,38,52,10,19,76.4,7029,2725,222,87.4,165,80.6,97,51.5,7,3,453,59,21,1,88,19,12,4,19,11,15,5,5,8,2,12,41.7,7,127,35,57,55,15,6,0,5,36,25,0,636,50,184,300,185,28,52.6,1128,11,9,8,5,18,22,0,12,5,0,0,48.7,95,2,2,7,100.0,14.3,8,2,38,2043,0.5,7,9.3,0,352,1
2.4,0.7,62,770,106,14,11,8,2.5,2.5,1.9,643,86.9,50,57,8,19,86.9,10978,3537,238,91.6,274,93.1,115,70.4,9,3,602,41,16,4,71,25,11,4,14,15,14,7,10,1,3,11,54.5,5,106,32,39,35,32,0,0,8,25,24,1,770,75,265,365,187,26,42.1,1423,18,4,16,11,12,16,1,11,7,0,0,51.9,91,2,2,6,100.0,9.1,7,7,50,2516,0.1,11,6.0,0,4231,1
0.6,1.2,46,679,121,21,29,11,0.6,0.6,0.5,542,80.8,40,50,15,21,80.8,8720,3080,189,89.4,230,89.1,101,58.4,9,2,494,48,10,2,31,16,14,8,29,19,21,9,14,6,1,24,41.7,14,121,37,55,51,15,8,0,3,50,20,0,679,97,279,275,166,33,71.4,1323,13,3,15,15,11,12,5,14,9,0,0,59.1,89,2,3,9,66.7,0.0,3,2,40,2247,0.7,12,9.3,0,4231,0
1.6,0.0,60,784,154,22,8,12,1.7,1.7,1.0,666,81.8,52,80,11,17,81.8,10312,3052,277,91.0,247,84.2,117,68.4,14,1,615,51,7,0,50,31,26,15,10,17,22,14,11,10,1,16,62.5,6,154,62,35,82,37,1,0,11,30,12,0,784,27,163,406,267,36,64.7,1481,21,7,20,15,9,7,0,26,14,0,0,63.6,119,0,0,3,66.7,25.0,10,1,52,2543,0.0,4,12.3,1,343,1
3.5,0.5,65,904,143,18,18,11,3.5,2.7,2.0,774,86.6,65,81,20,23,86.6,13816,3923,217,90.8,397,91.4,129,76.7,22,3,725,49,13,3,147,17,22,11,25,17,18,13,9,8,1,12,25.0,9,143,54,40,71,32,4,0,7,36,25,1,904,48,245,470,256,46,87.0,1843,26,4,15,11,9,15,2,22,13,1,0,75.6,105,1,2,5,50.0,0.0,8,3,65,3035,0.3,2,12.6,0,4231,1
1.3,0.2,69,867,170,27,11,12,1.3,1.3,0.7,722,85.9,61,86,17,25,85.9,11727,3794,294,91.5,292,88.7,113,74.3,11,2,676,46,13,0,86,17,18,3,30,12,27,15,11,12,4,27,18.5,22,170,51,52,80,38,3,0,9,38,27,0,867,61,223,400,303,34,68.0,2026,20,5,13,16,14,13,2,18,15,0,0,60.0,101,1,2,5,50.0,0.0,2,0,61,3524,0.8,7,14.0,1,4231,0
1.8,0.4,64,906,64,9,13,6,1.8,1.8,1.5,819,89.9,60,67,11,17,89.9,14473,3749,292,91.4,396,93.4,114,79.8,15,4,777,42,13,3,50,31,16,3,12,7,9,5,3,5,1,9,11.1,8,64,28,11,35,18,1,0,5,22,14,0,906,55,218,521,226,28,64.7,1454,12,3,16,4,5,12,10,16,5,0,0,52.2,68,1,2,4,50.0,0.0,5,6,60,2663,1.2,7,16.0,0,343,1
1.4,0.6,54,729,129,11,14,16,1.5,1.5,1.1,595,84.5,45,76,17,26,84.5,9898,3105,216,86.1,255,91.8,107,73.8,13,3,537,58,17,0,67,13,8,8,16,14,11,8,4,5,2,5,40.0,3,129,34,40,59,30,2,0,14,25,22,0,729,55,181,321,277,36,65.4,1450,25,5,11,14,8,19,3,8,8,0,0,52.2,88,2,2,4,100.0,0.0,9,2,45,2491,0.2,4,18.1,0,343,1
1.8,0.3,68,853,111,17,4,12,1.9,1.9,0.6,749,81.2,56,96,8,19,81.2,11788,3367,283,86.2,314,86.9,130,64.6,12,0,698,51,9,0,77,27,25,7,14,17,17,12,8,8,1,14,71.4,4,111,58,35,44,32,4,0,8,21,13,0,853,56,232,375,320,48,42.1,2286,26,12,10,10,6,11,4,25,12,0,0,42.2,141,0,0,8,66.7,0.0,5,0,56,3592,0.0,4,10.8,0,343,0
2.2,0.3,66,829,100,13,9,14,2.3,2.3,2.1,731,86.7,72,80,21,23,86.7,12564,3610,252,86.5,355,92.1,113,74.3,15,2,693,38,8,5,86,19,13,13,10,8,13,10,6,5,2,12,41.7,7,100,42,24,50,26,4,0,10,22,12,0,829,39,144,432,295,35,91.3,1583,16,7,8,13,9,12,2,13,10,0,0,41.2,102,1,1,4,100.0,10.0,7,3,72,2797,0.0,10,14.2,1,4231,1
2.3,0.3,58,807,153,14,12,3,2.3,1.5,1.3,703,89.5,48,74,4,19,89.5,12420,3576,264,92.8,303,94.4,117,76.1,4,2,662,41,11,3,78,21,14,7,10,7,14,5,2,10,2,13,38.5,8,153,46,34,86,33,0,0,3,26,11,0,807,37,189,482,210,22,21.1,1676,21,10,13,10,4,11,3,14,5,1,0,61.9,85,1,1,3,100.0,50.0,11,6,48,2810,0.1,4,17.9,1,343,1
3.2,1.6,41,593,183,19,33,14,3.2,2.5,2.3,445,79.3,26,46,8,18,79.3,6715,2743,178,89.3,167,85.6,83,56.6,12,2,402,43,11,2,74,7,15,8,20,10,19,15,10,9,0,23,30.4,16,183,53,79,76,28,7,0,7,52,26,0,593,93,239,262,128,37,44.4,1159,14,10,9,11,14,13,3,15,15,1,0,43.3,87,3,6,12,66.7,0.0,5,3,26,2036,2.2,9,9.9,0,4231,0
0.6,1.1,55,668,179,21,10,14,0.6,0.6,0.4,552,79.5,56,72,15,19,79.5,8676,2822,190,87.9,228,86.4,113,60.2,10,1,497,55,15,2,52,18,16,6,7,11,21,14,9,8,4,37,24.3,28,179,51,72,74,33,7,0,7,31,15,1,668,74,234,282,204,32,78.9,1388,18,6,8,14,16,13,5,16,14,0,0,40.0,105,1,1,12,100.0,0.0,7,0,56,2486,0.5,4,12.5,0,4231,0
1.5,1.5,58,679,112,16,8,13,1.5,1.5,1.2,571,85.6,44,64,17,21,85.6,9560,2908,201,91.5,255,92.2,100,67.0,9,2,528,43,13,3,54,11,8,3,5,17,16,7,8,8,0,9,33.3,6,112,27,32,56,24,3,0,10,24,18,1,679,92,260,327,145,24,81.0,1471,22,8,12,11,6,13,0,8,7,0,0,41.4,75,3,3,6,100.0,5.9,10,7,44,2402,1.2,17,17.6,1,343,1
1.3,1.4,64,792,117,16,7,11,1.3,1.3,1.1,674,83.2,48,58,15,22,83.2,10882,3506,244,91.8,281,86.5,128,65.6,15,6,617,57,12,1,73,20,15,8,10,11,16,10,7,7,2,12,33.3,8,117,50,35,60,22,5,0,6,23,20,0,792,60,209,414,216,28,68.2,1198,17,5,15,14,5,15,4,15,10,0,0,58.5,107,2,5,5,40.0,0.0,6,0,48,2854,1.8,0,15.9,2,343,0
0.7,2.0,54,661,158,17,9,22,0.7,0.7,0.6,536,82.8,26,48,9,19,82.8,8619,2340,204,86.8,207,92.3,107,60.7,6,3,495,41,12,1,123,19,9,2,5,6,17,10,9,8,0,12,16.7,10,158,51,66,73,19,7,0,15,26,26,0,661,76,226,355,120,12,47.4,1247,5,3,9,12,8,13,1,9,10,0,1,45.5,86,4,7,10,57.1,12.5,3,2,26,2437,3.5,8,18.0,2,343,0
2.3,0.7,57,731,160,27,7,14,2.3,2.3,1.5,604,83.4,33,66,16,25,83.4,9431,3353,270,88.1,218,87.6,96,67.7,10,2,560,44,12,1,71,20,13,7,17,12,27,19,9,15,3,20,55.0,9,160,59,64,61,35,0,0,14,34,26,2,731,68,234,337,212,37,64.0,1470,21,11,13,11,12,13,2,13,19,0,0,51.9,96,1,1,12,100.0,0.0,7,4,33,2558,0.1,12,12.2,0,343,1
1.3,1.4,56,700,155,25,8,16,1.4,1.4,1.3,587,83.1,37,54,10,21,83.1,9190,2805,229,89.1,241,88.4,96,63.5,5,0,548,39,13,2,121,14,10,4,12,10,25,16,15,10,0,11,18.2,9,155,46,65,69,21,2,0,14,33,16,0,700,65,235,355,167,25,47.6,1667,15,10,12,8,16,16,6,10,16,0,0,41.7,99,3,5,5,60.0,25.0,6,2,37,2994,2.4,12,11.7,0,343,0
0.2,0.7,29,504,132,16,5,19,0.2,0.2,0.1,420,77.9,15,21,8,14,77.9,6448,2094,150,88.0,176,83.0,81,56.8,4,0,376,44,10,0,81,8,5,2,7,8,16,11,11,4,1,15,26.7,11,132,35,78,46,8,6,1,13,21,17,1,504,102,270,209,55,8,57.1,779,7,2,8,7,10,9,1,5,11,0,0,71.4,71,1,2,11,50.0,9.1,0,0,15,1510,0.8,11,8.8,0,343,0
3.4,1.1,62,784,128,19,15,12,3.5,3.5,2.6,646,85.6,52,82,12,22,85.6,11148,3124,243,93.8,264,90.5,117,70.9,21,5,587,59,10,1,94,22,22,11,11,18,19,9,11,6,2,15,46.7,8,128,36,57,47,24,4,0,8,34,23,0,784,73,218,323,294,47,54.5,1648,23,5,16,12,10,9,2,22,9,0,0,61.0,91,1,2,13,50.0,0.0,8,2,52,2746,0.3,9,6.7,0,343,1
1.2,1.1,48,657,103,26,20,6,1.2,1.2,1.0,529,77.5,32,52,12,16,77.5,8533,2875,182,82.4,216,83.3,104,66.3,13,3,477,52,14,1,29,21,17,5,18,20,26,18,10,11,5,9,22.2,7,103,30,29,58,16,2,0,4,46,25,0,657,59,222,316,160,31,75.0,1101,14,6,18,15,9,15,4,17,18,0,0,52.0,94,4,7,8,57.1,0.0,4,2,32,1985,2.5,6,15.8,0,343,0
2.2,0.4,59,764,143,16,16,18,2.2,2.2,2.2,634,84.7,59,78,11,17,84.7,10132,3685,237,88.2,283,89.4,91,68.1,15,4,588,46,12,1,62,13,19,10,22,9,16,15,6,9,1,12,16.7,10,143,49,44,65,34,4,0,14,32,19,0,764,51,194,361,262,55,64.7,1653,22,10,17,12,9,12,2,19,15,0,0,75.0,98,1,2,3,50.0,0.0,6,2,59,2626,0.8,7,15.9,1,343,0
