ID	Home_Team	Home_Formation	Home_Score	Home_xG	Home_Yellow_Cards	Home_Red_Cards	Away_Team	Away_Formation	Away_Score	Away_xG	Away_Yellow_Cards	Away_Red_Cards	Gls	Ast	PK	Sh	SoT	CrdY	CrdR	Touches	Press	Tkl	Int	Blocks	xG_Expected	npxG_Expected	xA_Expected	GCA_SCA	Cmp_Passes	Att_Passes	Cmp_percent_Passes	Prog_Passes	Carries_Carries	Prog_Carries	Succ_Dribbles	Att_Dribbles	Cmp_Total	Att_Total	Cmp_percent_Total	TotDist_Total	PrgDist_Total	Cmp_Short	Att_Short	Cmp_percent_Short	Cmp_Medium	Att_Medium	Cmp_percent_Medium	Cmp_Long	Att_Long	Cmp_percent_Long	xA	KP	Final_Third	PPA	CrsPA	Prog	Att	Live_Pass_Types	Dead_Pass_Types	FK_Pass_Types	TB_Pass_Types	Press_Pass_Types	Sw_Pass_Types	Crs_Pass_Types	CK_Pass_Types	In_Corner_Kicks	Out_Corner_Kicks	Str_Corner_Kicks	Cmp_Outcomes	Off_Outcomes	Out_Outcomes	Int_Outcomes	Blocks_Outcomes	Tkl_Tackles	TklW_Tackles	Def.3rd_Tackles	Mid.3rd_Tackles	Att.3rd_Tackles	Tkl_Vs_Dribbles	Att_Vs_Dribbles	Tkl_percent_Vs_Dribbles	Past_Vs_Dribbles	Press_Pressures	Succ_Pressures	X_percent_Pressures	Def.3rd_Pressures	Mid.3rd_Pressures	Att.3rd_Pressures	Blocks_Blocks	Sh_Blocks	ShSv_Blocks	Pass_Blocks	Tkl.Int	Clr	Err	Touches_Touches	Def.Pen_Touches	Def.3rd_Touches	Mid.3rd_Touches	Att.3rd_Touches	Att.Pen_Touches	Live_Touches	Succ_percent_Dribbles	Player_NumPl_Dribbles	Megs_Dribbles	TotDist_Carries	PrgDist_Carries	Final_Third_Carries	CPA_Carries	Mis_Carries	Dis_Carries	Targ_Receiving	Rec_Receiving	Rec_percent_Receiving	Prog_Receiving	X2CrdY	Fls	Fld	Off	Crs	TklW	PKwon	PKcon	OG	Recov	Won_Aerial_Duels	Lost_Aerial_Duels	Won_percent_Aerial_Duels	SoTA_Shot_Stopping	GA_Shot_Stopping	Saves_Shot_Stopping	Save_percent_Shot_Stopping	PSxG_Shot_Stopping	Cmp_Launched	Att_Launched	Cmp_percent_Launched	Thr_Passes	Launch_percent_Passes	AvgLen_Passes	Att_Goal_Kicks	Launch_percent_Goal_Kicks	Opp_Crosses	Stp_Crosses	Stp_percent_Crosses	Player_NumOPA_Sweeper	AvgDist_Sweeper	Team.y	Result	GF	GA	Opponent	xG	xGA	Poss	Formation	MatchYear
2017-11-05	Chelsea	3-5-2	1	1.4	1	0	Manchester United	3-4-1-2	0	0.8	3	0	1	1	0	18	8	1	0	636	127	15	21	11	1.4	1.4	0.5	2	391	512	76.4	38	399	52	10	19	391	512	76.4	7029	2725	194	222	87.4	133	165	80.6	50	97	51.5	0.5	11	36	7	3	38	512	453	59	21	1	88	19	12	4	3	0	0	391	0	14	19	11	15	5	5	8	2	5	12	41.7	7	127	35	27.6	57	55	15	11	6	0	5	36	25	0	636	50	184	300	185	28	578	52.6	11	1	2043	1128	11	9	8	5	474	391	82.5	38	0	18	22	0	12	5	0	0	0	95	19	20	48.7	2	0	2	100	0.5	3	13	23.1	2	57.1	48.3	7	71.4	7	1	14.3	0	9.3	Chelsea	W	1	0	Manchester Utd	1.4	0.8	54	3-5-2	2018
2017-11-18	West Bromwich Albion	3-5-2	0	0.7	2	0	Chelsea	3-5-1-1	4	2.4	3	0	4	3	0	11	7	3	0	770	106	14	11	8	2.5	2.5	1.9	7	559	643	86.9	50	508	57	8	19	559	643	86.9	10978	3537	218	238	91.6	255	274	93.1	81	115	70.4	1.9	8	42	9	3	50	643	602	41	16	4	71	25	11	4	2	1	0	559	1	11	14	15	14	7	10	1	3	6	11	54.5	5	106	32	30.2	39	35	32	8	0	0	8	25	24	1	770	75	265	365	187	26	731	42.1	10	3	2516	1423	18	4	16	11	629	559	88.9	50	0	12	16	1	11	7	0	0	0	91	14	13	51.9	2	0	2	100	0.1	6	15	40	8	41.9	39.1	6	33.3	11	1	9.1	0	6	Chelsea	W	4	0	West Brom	2.4	0.7	62	3-5-1-1	2018
2017-11-25	Liverpool	4-3-3	1	1.2	0	0	Chelsea	3-5-1-1	1	0.6	0	0	1	1	0	11	3	0	0	679	121	21	29	11	0.6	0.6	0.5	2	438	542	80.8	40	479	50	15	21	438	542	80.8	8720	3080	169	189	89.4	205	230	89.1	59	101	58.4	0.5	9	25	9	2	40	542	494	48	10	2	31	16	14	8	0	4	3	438	5	7	29	19	21	9	14	6	1	10	24	41.7	14	121	37	30.6	55	51	15	11	8	0	3	50	20	0	679	97	279	275	166	33	631	71.4	17	2	2247	1323	13	3	15	15	540	438	81.1	40	0	11	12	5	14	9	0	0	0	89	13	9	59.1	3	1	2	66.7	0.7	5	14	35.7	6	34.6	35.5	9	55.6	12	0	0	0	9.3	Chelsea	D	1	1	Liverpool	0.6	1.2	46	3-5-1-1	2018
2017-11-29	Chelsea	3-4-3	1	1.6	1	0	Swansea City	4-4-2◆	0	0	0	0	1	0	0	21	10	1	0	784	154	22	8	12	1.7	1.7	1	1	545	666	81.8	52	523	80	11	17	545	666	81.8	10312	3052	252	277	91	208	247	84.2	80	117	68.4	1	16	33	14	1	52	666	615	51	7	0	50	31	26	15	2	4	2	545	0	11	10	17	22	14	11	10	1	10	16	62.5	6	154	62	40.3	35	82	37	12	1	0	11	30	12	0	784	27	163	406	267	36	735	64.7	12	0	2543	1481	21	7	20	15	650	545	83.8	52	0	9	7	0	26	14	0	0	0	119	21	12	63.6	0	0	0	NA	0	3	6	50	3	30.8	37.8	3	66.7	4	1	25	1	12.3	Chelsea	W	1	0	Swansea City	1.6	0	60	3-4-3	2018
2017-12-02	Chelsea	3-5-1-1	3	3.5	0	0	Newcastle United	3-4-3	1	0.5	1	0	3	1	1	22	8	0	0	904	143	18	18	11	3.5	2.7	2	3	670	774	86.6	65	645	81	20	23	670	774	86.6	13816	3923	197	217	90.8	363	397	91.4	99	129	76.7	2	17	54	22	3	65	774	725	49	13	3	147	17	22	11	0	5	0	670	2	4	25	17	18	13	9	8	1	3	12	25	9	143	54	37.8	40	71	32	11	4	0	7	36	25	1	904	48	245	470	256	46	856	87	20	4	3035	1843	26	4	15	11	747	670	89.7	65	0	9	15	2	22	13	1	0	0	105	31	10	75.6	2	1	1	50	0.3	4	8	50	5	23.8	29.5	5	60	2	0	0	0	12.6	Chelsea	W	3	1	Newcastle Utd	3.5	0.5	65	3-5-1-1	2018
2017-12-09	West Ham United	3-4-3	1	0.2	6	0	Chelsea	3-5-1-1	0	1.3	1	0	0	0	0	19	2	1	0	867	170	27	11	12	1.3	1.3	0.7	0	620	722	85.9	61	658	86	17	25	620	722	85.9	11727	3794	269	294	91.5	259	292	88.7	84	113	74.3	0.7	12	62	11	2	61	722	676	46	13	0	86	17	18	3	2	0	0	620	1	6	30	12	27	15	11	12	4	5	27	18.5	22	170	51	30	52	80	38	12	3	0	9	38	27	0	867	61	223	400	303	34	821	68	19	0	3524	2026	20	5	13	16	699	620	88.7	61	0	14	13	2	18	15	0	0	0	101	21	14	60	2	1	1	50	0.8	8	9	88.9	8	28.6	31.2	5	20	7	0	0	1	14	Chelsea	L	0	1	West Ham	1.3	0.2	69	3-5-1-1	2018
2017-12-12	Huddersfield Town	4-5-1	1	0.4	0	0	Chelsea	3-4-3	3	1.8	0	0	3	3	0	12	5	0	0	906	64	9	13	6	1.8	1.8	1.5	6	736	819	89.9	60	566	67	11	17	736	819	89.9	14473	3749	267	292	91.4	370	396	93.4	91	114	79.8	1.5	9	69	15	4	60	819	777	42	13	3	50	31	16	3	0	2	0	736	10	11	12	7	9	5	3	5	1	1	9	11.1	8	64	28	43.8	11	35	18	6	1	0	5	22	14	0	906	55	218	521	226	28	866	64.7	13	3	2663	1454	12	3	16	4	812	736	90.6	60	0	5	12	10	16	5	0	0	0	68	12	11	52.2	2	1	1	50	1.2	1	2	50	3	5.6	20	4	25	7	0	0	0	16	Chelsea	W	3	1	Huddersfield	1.8	0.4	64	3-4-3	2018
2017-12-16	Chelsea	3-4-3	1	1.4	1	0	Southampton	3-4-3	0	0.6	3	0	1	0	0	24	9	1	0	729	129	11	14	16	1.5	1.5	1.1	2	503	595	84.5	45	462	76	17	26	503	595	84.5	9898	3105	186	216	86.1	234	255	91.8	79	107	73.8	1.1	19	34	13	3	45	595	537	58	17	0	67	13	8	8	1	3	0	503	3	6	16	14	11	8	4	5	2	2	5	40	3	129	34	26.4	40	59	30	16	2	0	14	25	22	0	729	55	181	321	277	36	672	65.4	17	6	2491	1450	25	5	11	14	581	503	86.6	45	0	8	19	3	8	8	0	0	0	88	12	11	52.2	2	0	2	100	0.2	5	15	33.3	7	38.7	39.3	4	75	4	0	0	0	18.1	Chelsea	W	1	0	Southampton	1.4	0.6	54	3-4-3	2018
2017-12-23	Everton	4-1-4-1	0	0.3	3	0	Chelsea	3-4-3	0	1.8	0	0	0	0	0	25	5	0	0	853	111	17	4	12	1.9	1.9	0.6	0	608	749	81.2	56	648	96	8	19	608	749	81.2	11788	3367	244	283	86.2	273	314	86.9	84	130	64.6	0.6	14	54	12	0	56	749	698	51	9	0	77	27	25	7	3	3	0	608	4	10	14	17	17	12	8	8	1	10	14	71.4	4	111	58	52.3	35	44	32	12	4	0	8	21	13	0	853	56	232	375	320	48	804	42.1	9	0	3592	2286	26	12	10	10	705	608	86.2	64	0	6	11	4	25	12	0	0	0	141	19	26	42.2	0	0	0	NA	0	4	9	44.4	6	20.8	30.7	8	50	4	0	0	0	10.8	Chelsea	D	0	0	Everton	1.8	0.3	68	3-4-3	2018
2017-12-26	Chelsea	3-5-1-1	2	2.2	0	0	Brighton & Hove Albion	4-5-1	0	0.3	1	0	2	2	0	25	7	0	0	829	100	13	9	14	2.3	2.3	2.1	3	634	731	86.7	72	643	80	21	23	634	731	86.7	12564	3610	218	252	86.5	327	355	92.1	84	113	74.3	2.1	21	62	15	2	72	731	693	38	8	5	86	19	13	13	1	5	0	634	2	5	10	8	13	10	6	5	2	5	12	41.7	7	100	42	42	24	50	26	14	4	0	10	22	12	0	829	39	144	432	295	35	791	91.3	21	1	2797	1583	16	7	8	13	713	634	88.9	78	0	9	12	2	13	10	0	0	0	102	14	20	41.2	1	0	1	100	0	1	7	14.3	4	17.4	28.5	4	75	10	1	10	1	14.2	Chelsea	W	2	0	Brighton	2.2	0.3	66	3-5-1-1	2018
2017-12-30	Chelsea	3-4-3	5	2.3	1	0	Stoke City	4-2-3-1	0	0.3	1	0	5	2	1	20	11	1	0	807	153	14	12	3	2.3	1.5	1.3	6	629	703	89.5	48	643	74	4	19	629	703	89.5	12420	3576	245	264	92.8	286	303	94.4	89	117	76.1	1.3	15	52	4	2	48	703	662	41	11	3	78	21	14	7	1	4	0	629	3	4	10	7	14	5	2	10	2	5	13	38.5	8	153	46	30.1	34	86	33	3	0	0	3	26	11	0	807	37	189	482	210	22	768	21.1	4	1	2810	1676	21	10	13	10	690	629	91.2	48	0	4	11	3	14	5	1	0	0	85	13	8	61.9	1	0	1	100	0.1	2	2	100	10	4.2	24.7	3	33.3	4	2	50	1	17.9	Chelsea	W	5	0	Stoke City	2.3	0.3	58	3-4-3	2018
2018-01-03	Arsenal	3-4-3	2	1.6	3	0	Chelsea	3-5-1-1	2	3.2	2	0	2	1	1	18	5	2	0	593	183	19	33	14	3.2	2.5	2.3	3	353	445	79.3	26	372	46	8	18	353	445	79.3	6715	2743	159	178	89.3	143	167	85.6	47	83	56.6	2.3	16	20	12	2	26	445	402	43	11	2	74	7	15	8	4	1	0	353	2	6	20	10	19	15	10	9	0	7	23	30.4	16	183	53	29	79	76	28	14	7	0	7	52	26	0	593	93	239	262	128	37	549	44.4	9	1	2036	1159	14	10	9	11	415	353	85.1	26	0	14	13	3	15	15	1	0	0	87	13	17	43.3	6	2	3	66.7	2.2	8	18	44.4	6	39.3	39.2	12	58.3	9	0	0	0	9.9	Chelsea	D	2	2	Arsenal	3.2	1.6	41	3-5-1-1	2018
